id,title,year,dimension,medium,support,series,gp,imgname,red,yellow,blue 
DA01,Untitled(genene),1979,39x39,charcoal,paper,placeholder,g,0,,,
DA02,Zaragoza Highway(geren ford),1980,17x14,charcoal,paper,ZH,g,1,,,
DA03,Zaragoza Highway(a.g.),1982,26x40,charcoal,paper,ZH,g,2,,,
DA04,Vis Logic GYR,2000,24X24,oil,canvas,VL,g,3,,,
DA05,Visual Logic RYB,2000,24x24x1,oil,canvas,VL,g,4,,,
DA06,Visual Logic RBGrey,2000,24x24x1,oil,canvas,VL,g,5,,,
DA07,Visual Logic Blue Rose Orange,2003,24x24x1,oil,canvas,VL,g,6,,,
DA08,Cadmium Yellow Light,2003,"24x24x1/2""",oil,marine board,placeholder3,g,7,,,
DA09,Visual Logic Blue Orange Grey Corn God,2003,"24x24x1/2""",oil,marine board,VL,g,8,,,
DA10,Visual Logic Study (blue/orange),2001-2003,"11.5""W x26"" H",acrylic,paper,VL,g,9,,,
DA11,Red on Yellow,2006,80W X 85H,oil,canvas,IT,g,10,,,
DA12,"G in M III, 1977-88 (Diamond pos) same DA127",1977-88,"39x36x2 1/8""",acrylic,canvas,CFAS,g,11,,,
DA13,One Mars Out: Ideal of Science #16,1977-88,"34 1/2x 38 1/4x2 1/8-1 3/4""",acrylic,canvas,CFAS,g,12,,,
DA14,Ivory Outside #13 same as DA135,1977-88,"42 1/4x36x2 1/8-1 3/4""",acrylic,canvas,CFAS,g,13,,,
DA15,Inverted Triangles,2003,38x34,charcoal,paper,IT,g,14,,,
DA100,Prototype,1984-85 ,24X116,acrylic,canvas + linen,placeholder2,g,15,,,
DA101,Azul,1984,68X72,vinyl acrylic,canvas,placeholder,g,16,,,1
DA102,Titanium White (Moby Dick),1984-85,78X246,acrylic,canvas,placeholder2,g,17,,,
DA103,untitled,,,charcoal,paper,ZH,g,18,,,
DA104,Ehre Dem Anti,1985,90X270,acrylic,canvas,placeholder2,g,19,,1,
DA105,Red Dye No. 3,1985,98X90,acrylic,canvas,placeholder,g,20,1,,
DA106,Two Cad Yel Lghts: Apollo Soyuz Permutatuion,"1985, instal 1986",98X167,acrylic,canvas,placeholder,g,21,,1,
DA107,Yellow Triangle,1985-1986,90X156 or100X140,acrylic,canvas,placeholder2,g,22,,1,
DA108,Imaginary Red #1,,,acrylic,canvas,placeholder2,g,23,1,,
DA109,Imaginary Red #1-extended,,22X70,acrylic,canvas,placeholder2,g,24,1,,
DA110,Zaragoza Highway,,,acrylic,canvas,ZH,g,25,,,
